PARENTNO,PARENT_VER,PROD_STATUS,PROD_CDATE,PROD_MODDATE,GISONG,BRAND,EL_ASPD,EL_ACAPA,ASPSCD,PARTNO,PARTNAME,PART_VERSION,SPEC,GLCODE,PART_QTY,CMT,UCHECK
V500884,5,RLS,2025-07-04,2025-07-04,,,,,,LAB109317,MOLD,0,"CAR SILL MOLD (1SCO, 1SSO 공용)","12010659,12010661",1,"2023.10.24_1SET 청구
- 업체 : 건웅기계
- 비고 : 1SCO, 1SSO 공용 CAR SILL MOLD
",1
V500884,5,RLS,2025-07-04,2025-07-04,,,,,,LAB109318,MOLD,0,HATCH SILL MOLD (1SCO),37110178,1,"2023.10.24_1SET 청구
- 업체 : 마운트 지앤디
- 비고 : 1SCO HATCH SILL MOLD
",1
V500884,5,RLS,2025-07-04,2025-07-04,,,,,,LAB109319,MOLD,0,HATCH SILL MOLD (1SSO),37110182,1,"2023.10.24_1SET 청구
- 업체 : 마운트 지앤디
- 비고 : 1SSO HATCH SILL MOLD
",1
V500884,5,RLS,2025-07-04,2025-07-04,,,,,,LAB109763,MOLD,0,"WEAHTER STRIP, 충주타워 4,5호기 카도어용 기밀재 금형 제작비 (경도 70 고무)",33100625H04,1,"2024.07.29 1 SET
제작업체: 유한이엘피
충주타워 카도어 기밀용 WEAHTER STRIP 금형 제작비
",1
V500884,5,RLS,2025-07-04,2025-07-04,,,,,,LAB109764,MOLD,0,"UPPER GUIDE, 충주타워 4,5호기 카도어용 기밀재 금형 제작비, A6063S-Y5",33100738G01,1,"2024.07.29 1 SET
제작업체: 유한이엘피
충주타워 카도어 기밀용 UPPPER GUIDE 금형 제작비
",1
V500884,5,RLS,2025-07-04,2025-07-04,,,,,,LAB109866,MOLD,0,"UL 방화인증 라벨 금형 (R27041, R27151, R27153)",G01,1,2024.11.20 NAME PLATE 금형 제작 건(업체 : 투테크),1
V500884,5,RLS,2025-07-04,2025-07-04,,,,,,LAB109887,MOLD,0,"HCDL-2, CDL RELEASE TOOL 개선품 금형제작비",13110440G01~09,1,"2025.01.06 1 SET 청구
제작업체: 마운트 지앤디",1
V500884,5,RLS,2025-07-04,2025-07-04,,,,,,LAB109949,MOLD,0,경도 20±5 RUBBER PAD 금형제작비,13110501G01,1,"2025.01.06 1 SET 청구
제작업체: 마운트 지앤디",1
V500884,5,RLS,2025-07-04,2025-07-04,,,,,,LAB110065,MOLD,0,"VE-0800, 인터록 브릿지","16200233G01,G02",1,"비표준 인터록 브릿지 금형제작비 처리 건 
요청일 : 2025.07.04
수량 : 1SET
업체 : 유한이엘피",1
V500894,0,RLS,2023-11-28,2023-11-28,,,,,,LAB109241,DEVELOPMENT COST,0,대형 터치형 행선층입력장치 다이케스팅 금형 제작 비용(End Frame),.,1,,1
V500894,0,RLS,2023-11-28,2023-11-28,,,,,,LAB109242,DEVELOPMENT COST,0,대형 터치형 행선층입력장치 압출 금형 제작 비용(Side Frame),.,1,,1
