VERSION,HOUID,DOUID,NO,ADDR,SPEC1,CON1,SPEC2,CON2,SPEC3,CON3,SPEC4,CON4,SPEC5,CON5,SPEC6,CON6,SPEC7,CON7,SPEC8,CON8,SPEC9,CON9,SPEC10,CON10,SPEC11,CON11,SPEC12,CON12,SPEC13,CON13,SPEC14,CON14,SPEC15,CON15,SPEC16,CON16,SPEC17,CON17,SPEC18,CON18,SPEC19,CON19,SPEC20,CON20,KEY1,VAL1,KEY2,VAL2,KEY3,VAL3,KEY4,VAL4,KEY5,VAL5,KEY6,VAL6,KEY7,VAL7,KEY8,VAL8,KEY9,VAL9,KEY10,VAL10,KEY11,VAL11,KEY12,VAL12,KEY13,VAL13,KEY14,VAL14,KEY15,VAL15,KEY16,VAL16,KEY17,VAL17,KEY18,VAL18,KEY19,VAL19,KEY20,VAL20,GOTO,REMARKS,SPEC21,CON21,SPEC22,CON22,SPEC23,CON23,SPEC24,CON24,SPEC25,CON25,SPEC26,CON26,SPEC27,CON27,SPEC28,CON28,SPEC29,CON29,SPEC30,CON30
44,1292445,91651280,15,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,N,EL_ECWTP,R,,,EL_ETM,",GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">800,<=900",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G01,,,,,,,,,,,,,,,,,,,,
44,1292445,91651281,16,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,N,EL_ECWTP,R,,,EL_ETM,",GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">900,<=1000",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G01,,,,,,,,,,,,,,,,,,,,
44,1292445,91651282,17,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,N,EL_ECWTP,R,,,EL_ETM,",GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">1000,<=1100",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G01,,,,,,,,,,,,,,,,,,,,
44,1292445,91651283,18,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,N,EL_ECWTP,R,,,EL_ETM,",GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">1100,<=1200",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G01,,,,,,,,,,,,,,,,,,,,
44,1292445,91651284,19,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,N,EL_ECWTP,R,,,EL_ETM,",GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">1200,<=1300",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G01,,,,,,,,,,,,,,,,,,,,
44,1292445,91651285,20,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,N,EL_ECWTP,R,,,EL_ETM,",GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">1300,<=1400",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G01,,,,,,,,,,,,,,,,,,,,
44,1292445,91651286,21,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,N,EL_ECWTP,R,,,EL_ETM,",GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">1400,<=1500",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G01,,,,,,,,,,,,,,,,,,,,
44,1292445,91651287,22,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,N,EL_ECWTP,R,,,EL_ETM,",GH25A,GH25B,GH25SA,GH25SB",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">=500,<=600",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G02,,,,,,,,,,,,,,,,,,,,
44,1292445,91651288,23,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,N,EL_ECWTP,R,,,EL_ETM,",GH25A,GH25B,GH25SA,GH25SB",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">600,<=700",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G02,,,,,,,,,,,,,,,,,,,,
44,1292445,91651289,24,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,N,EL_ECWTP,R,,,EL_ETM,",GH25A,GH25B,GH25SA,GH25SB",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">700,<=800",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G02,,,,,,,,,,,,,,,,,,,,
44,1292445,91651290,25,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,N,EL_ECWTP,R,,,EL_ETM,",GH25A,GH25B,GH25SA,GH25SB",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">800,<=900",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G02,,,,,,,,,,,,,,,,,,,,
44,1292445,91651291,26,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,N,EL_ECWTP,R,,,EL_ETM,",GH25A,GH25B,GH25SA,GH25SB",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">900,<=1000",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G02,,,,,,,,,,,,,,,,,,,,
44,1292445,91651292,27,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,N,EL_ECWTP,R,,,EL_ETM,",GH25A,GH25B,GH25SA,GH25SB",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">1000,<=1100",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G02,,,,,,,,,,,,,,,,,,,,
44,1292445,91651293,28,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,N,EL_ECWTP,R,,,EL_ETM,",GH25A,GH25B,GH25SA,GH25SB",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">1100,<=1200",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G02,,,,,,,,,,,,,,,,,,,,
44,1292445,91651294,29,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,N,EL_ECWTP,R,,,EL_ETM,",GH25A,GH25B,GH25SA,GH25SB",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">1200,<=1300",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G02,,,,,,,,,,,,,,,,,,,,
44,1292445,91651295,30,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,N,EL_ECWTP,R,,,EL_ETM,",GH25A,GH25B,GH25SA,GH25SB",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">1300,<=1400",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G02,,,,,,,,,,,,,,,,,,,,
44,1292445,91651296,31,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,N,EL_ECWTP,R,,,EL_ETM,",GH25A,GH25B,GH25SA,GH25SB",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">1400,<=1500",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G02,,,,,,,,,,,,,,,,,,,,
44,1292445,91651297,32,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,Y,EL_ECWTP,R,,,EL_ETM,",?GH15S?,?GH25S?",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">=500,<=600",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G03,,,,,,,,,,,,,,,,,,,,
44,1292445,91651298,33,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,Y,EL_ECWTP,!R,EL_EMFD,90,EL_ETM,",?GH15S?,?GH25S?",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">=500,<=600",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G03,,,,,,,,,,,,,,,,,,,,
44,1292445,91651299,34,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,Y,EL_ECWTP,R,,,EL_ETM,",?GH15S?,?GH25S?",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">600,<=700",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G03,,,,,,,,,,,,,,,,,,,,
44,1292445,91651300,35,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,Y,EL_ECWTP,!R,EL_EMFD,90,EL_ETM,",?GH15S?,?GH25S?",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">600,<=700",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G03,,,,,,,,,,,,,,,,,,,,
44,1292445,91651301,36,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,Y,EL_ECWTP,R,,,EL_ETM,",?GH15S?,?GH25S?",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">700,<=800",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G03,,,,,,,,,,,,,,,,,,,,
44,1292445,91651302,37,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,Y,EL_ECWTP,!R,EL_EMFD,90,EL_ETM,",?GH15S?,?GH25S?",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">700,<=800",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G03,,,,,,,,,,,,,,,,,,,,
44,1292445,91651303,38,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,Y,EL_ECWTP,R,,,EL_ETM,",?GH15S?,?GH25S?",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">800,<=900",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G03,,,,,,,,,,,,,,,,,,,,
44,1292445,91651304,39,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,Y,EL_ECWTP,!R,EL_EMFD,90,EL_ETM,",?GH15S?,?GH25S?",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">800,<=900",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G03,,,,,,,,,,,,,,,,,,,,
44,1292445,91651305,40,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,Y,EL_ECWTP,R,,,EL_ETM,",?GH15S?,?GH25S?",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">900,<=1000",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G03,,,,,,,,,,,,,,,,,,,,
44,1292445,91651306,41,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,Y,EL_ECWTP,!R,EL_EMFD,90,EL_ETM,",?GH15S?,?GH25S?",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">900,<=1000",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G03,,,,,,,,,,,,,,,,,,,,
44,1292445,91651307,42,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,Y,EL_ECWTP,R,,,EL_ETM,",?GH15S?,?GH25S?",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">1000,<=1100",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G03,,,,,,,,,,,,,,,,,,,,
44,1292445,91651308,43,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,Y,EL_ECWTP,!R,EL_EMFD,90,EL_ETM,",?GH15S?,?GH25S?",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">1000,<=1100",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G03,,,,,,,,,,,,,,,,,,,,
44,1292445,91651309,44,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,Y,EL_ECWTP,R,,,EL_ETM,",?GH15S?,?GH25S?",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">1100,<=1200",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G03,,,,,,,,,,,,,,,,,,,,
44,1292445,91651310,45,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,Y,EL_ECWTP,!R,EL_EMFD,90,EL_ETM,",?GH15S?,?GH25S?",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">1100,<=1200",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G03,,,,,,,,,,,,,,,,,,,,
44,1292445,91651311,46,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,Y,EL_ECWTP,R,,,EL_ETM,",?GH15S?,?GH25S?",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">1200,<=1300",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G03,,,,,,,,,,,,,,,,,,,,
44,1292445,91651312,47,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,Y,EL_ECWTP,!R,EL_EMFD,90,EL_ETM,",?GH15S?,?GH25S?",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">1200,<=1300",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G03,,,,,,,,,,,,,,,,,,,,
44,1292445,91651313,48,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,Y,EL_ECWTP,R,,,EL_ETM,",?GH15S?,?GH25S?",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">1300,<=1400",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G03,,,,,,,,,,,,,,,,,,,,
44,1292445,91651314,49,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,Y,EL_ECWTP,!R,EL_EMFD,90,EL_ETM,",?GH15S?,?GH25S?",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">1300,<=1400",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G03,,,,,,,,,,,,,,,,,,,,
44,1292445,91651315,50,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,Y,EL_ECWTP,R,,,EL_ETM,",?GH15S?,?GH25S?",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">1400,<=1500",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G03,,,,,,,,,,,,,,,,,,,,
44,1292445,91651316,51,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,Y,EL_ECWTP,!R,EL_EMFD,90,EL_ETM,",?GH15S?,?GH25S?",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">1400,<=1500",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G03,,,,,,,,,,,,,,,,,,,,
44,1292445,91651317,52,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,Y,EL_ECWTP,!R,EL_EMFD,",SL,SR",EL_ERPW,",2,4",EL_ETM,",?GH15S?,?GH25S?",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_EPP,">=500,<=600",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G04,,,,,,,,,,,,,,,,,,,,
