PID,VERSION,HOUID,REG_DATE
CAL_CABLE_DIA,0,1300793,2026-08-06T04:36:26.000+00:00
AUTO_EL_ZERR_M3,423,1300792,2026-08-06T04:27:47.000+00:00
EL_PB121C,30,1300791,2026-08-06T04:24:11.000+00:00
7003411_AUTO,812,1300788,2026-08-06T04:08:36.000+00:00
LIMIT_PASS,8707,1300786,2026-08-06T04:02:41.000+00:00
DUTY_YOUNGUP_FIN,1713,1300785,2026-08-06T03:55:27.000+00:00
DUTY_YOUNGUP,5352,1300784,2026-08-06T03:53:10.000+00:00
PICK_B121A,36,1300783,2026-08-06T03:52:57.000+00:00
PICK_B121A,-1,1163045,2026-08-06T03:52:06.000+00:00
LIMIT_011_BASIC,288,1300782,2026-08-06T03:50:09.000+00:00
LIMIT_011_BASIC,287,1300781,2026-08-06T03:47:47.000+00:00
LIMIT_PASS,8706,1300780,2026-08-06T03:02:15.000+00:00
SH_E326A01,5,1300779,2026-08-06T02:55:29.000+00:00
SH_PE326A01,8,1300777,2026-08-06T02:51:38.000+00:00
SH_PE326A01,7,1300776,2026-08-06T02:49:29.000+00:00
LIMIT_PASS,8705,1300775,2026-08-06T02:48:25.000+00:00
EL_PA115A02,56,1300771,2026-08-06T02:43:16.000+00:00
A103B06,9,1300770,2026-08-06T02:42:18.000+00:00
EL_PA103B06,15,1300768,2026-08-06T02:41:16.000+00:00
EL_PB184A,105,1300767,2026-08-06T02:39:22.000+00:00
B184A,30,1300766,2026-08-06T02:37:29.000+00:00
B182E01_P2,67,1300765,2026-08-06T02:35:58.000+00:00
LIMIT_PASS,8704,1300764,2026-08-06T02:35:20.000+00:00
EL_PA102A01,45,1300763,2026-08-06T02:34:05.000+00:00
LIMIT_PASS,8703,1300762,2026-08-06T02:25:15.000+00:00
LIMIT_PASS,8702,1300761,2026-08-06T02:14:21.000+00:00
DUTY_YOUNGUP_FIN,1712,1300760,2026-08-06T02:13:17.000+00:00
LIMIT_PASS,8701,1300759,2026-08-06T02:04:30.000+00:00
2035898_PID,171,1300758,2026-08-06T01:49:42.000+00:00
DUTY_YOUNGUP_FIN,1711,1300757,2026-08-06T01:35:13.000+00:00
LIMIT_MODELQT_PASS,179,1300756,2026-08-06T01:32:30.000+00:00
LIMIT_PASS,8700,1300755,2026-08-06T01:30:50.000+00:00
LIMIT_PASS,8699,1300754,2026-08-06T01:28:42.000+00:00
LIMIT_PASS,8698,1300753,2026-08-06T01:27:09.000+00:00
DUTY_YOUNGUP,5351,1300751,2026-08-06T01:24:12.000+00:00
2037513,31,1300750,2026-08-06T01:23:21.000+00:00
DUTY_YOUNGUP,5350,1300749,2026-08-06T01:22:39.000+00:00
DUTY_YOUNGUP_FIN,1710,1300748,2026-08-06T01:09:41.000+00:00
LIMIT_PASS,8697,1300747,2026-08-06T01:08:15.000+00:00
LIMIT_SH_20_B,6,1300746,2026-08-06T01:02:56.000+00:00
LIMIT_PASS,8696,1300744,2026-08-06T00:39:18.000+00:00
LIMIT_PASS,8695,1300743,2026-08-06T00:38:08.000+00:00
LIMIT_PASS,8694,1300742,2026-08-06T00:33:14.000+00:00
AUTO_EL_ACABLE,-1,1293787,2026-08-06T00:27:36.000+00:00
BOM_VERI_A2000,318,1300741,2026-08-06T00:25:40.000+00:00
BOM_C263,237,1300740,2026-08-06T00:25:03.000+00:00
AUTO_EL_ZERR_A,109,1300739,2026-08-06T00:24:25.000+00:00
AUTO_EL_ZERR_A,108,1300738,2026-08-06T00:23:26.000+00:00
BOM_C263,236,1300737,2026-08-06T00:23:04.000+00:00
BOM_VERI_A2000,317,1300736,2026-08-06T00:22:48.000+00:00
AUTO_EL_ZERR_E1,36,1300735,2026-08-06T00:21:40.000+00:00
A103B06,-1,1300600,2026-08-06T00:14:01.000+00:00
EL_PA103B06,-1,1259906,2026-08-06T00:07:17.000+00:00
LIMIT_PASS,8693,1300733,2026-08-05T23:59:15.000+00:00
LIMIT_PASS,8692,1300732,2026-08-05T23:56:48.000+00:00
SH_PB245A,6,1300730,2026-08-05T23:49:40.000+00:00
EXCEPT_CHECK_PLAN_C,11,1300729,2026-08-05T23:44:27.000+00:00
DUTY_YOUNGUP_FIN,1709,1300728,2026-08-05T23:41:51.000+00:00
LIMIT_011_BASIC,286,1300727,2026-08-05T23:39:48.000+00:00
2037513,30,1300726,2026-08-05T23:39:34.000+00:00
LIMIT_PASS,8691,1300713,2026-08-05T09:09:35.000+00:00
LIMIT_PASS,8690,1300712,2026-08-05T09:07:31.000+00:00
LIMIT_PASS,8689,1300709,2026-08-05T08:17:11.000+00:00
2037521_DOHYUN_TEST_PID,-1,1279766,2026-08-05T08:12:06.000+00:00
LIMIT_PASS,8688,1300704,2026-08-05T07:54:20.000+00:00
EL_PB182C01,70,1300702,2026-08-05T07:46:08.000+00:00
EL_PA115A02,-1,1139321,2026-08-05T07:45:30.000+00:00
SH_PA115A99,5,1300701,2026-08-05T07:42:36.000+00:00
SH_PA115A99,4,1300700,2026-08-05T07:39:22.000+00:00
AUTO_EL_ZERR_E3,461,1300699,2026-08-05T07:36:29.000+00:00
2037513,29,1300697,2026-08-05T07:29:31.000+00:00
BOM_B181B,40,1300691,2026-08-05T07:15:45.000+00:00
2037521_DOHYUN_TEST_PID,9,1300680,2026-08-05T06:47:53.000+00:00
DUTY_EL_AEXP,199,1300675,2026-08-05T06:34:54.000+00:00
DUTY_EL_AEXP,198,1300674,2026-08-05T06:34:08.000+00:00
LIMIT_PASS,8687,1300672,2026-08-05T06:28:28.000+00:00
2035391_AUTO,375,1300671,2026-08-05T06:26:19.000+00:00
EL_PE291A01,29,1300670,2026-08-05T06:25:38.000+00:00
EL_PC264B10,9,1300669,2026-08-05T06:24:51.000+00:00
EL_PC264B08,13,1300666,2026-08-05T06:23:40.000+00:00
CAL_VERI_B183A01,10,1300665,2026-08-05T06:23:39.000+00:00
EL_PC264B06,9,1300664,2026-08-05T06:22:45.000+00:00
EL_PC264B02,79,1300663,2026-08-05T06:22:03.000+00:00
EL_PB182F03,11,1300662,2026-08-05T06:21:06.000+00:00
EL_PA230A04,75,1300661,2026-08-05T06:20:18.000+00:00
DUTY_TABLE,244,1300660,2026-08-05T06:20:17.000+00:00
DUTY_TABLE,-1,1128567,2026-08-05T06:19:58.000+00:00
EL_PA206B,33,1300659,2026-08-05T06:19:32.000+00:00
EL_PA204D05,9,1300658,2026-08-05T06:13:21.000+00:00
EL_PA204B28,5,1300656,2026-08-05T06:12:23.000+00:00
LIMIT_PASS,8686,1300655,2026-08-05T06:05:27.000+00:00
EL_PA204A25,26,1300654,2026-08-05T06:05:03.000+00:00
EL_PA204A09,7,1300653,2026-08-05T06:00:55.000+00:00
LIMIT_EL_INDIVIDUAL_COST_PASS,1067,1300652,2026-08-05T06:00:14.000+00:00
EL_PA204A,211,1300651,2026-08-05T05:59:50.000+00:00
DUTY_YOUNGUP_FIN,1708,1300650,2026-08-05T05:59:16.000+00:00
DUTY_YOUNGUP,5349,1300649,2026-08-05T05:58:01.000+00:00
EL_PA103A,-1,1162771,2026-08-05T05:57:40.000+00:00
LIMIT_PASS,8685,1300648,2026-08-05T05:57:25.000+00:00
DUTY_YOUNGUP,5348,1300647,2026-08-05T05:56:33.000+00:00
CAL_PLAN_EX,59,1300646,2026-08-05T05:50:31.000+00:00
LIMIT_EL_INDIVIDUAL_COST_PASS,1066,1300645,2026-08-05T05:49:54.000+00:00
7008431_AUTO,67,1300644,2026-08-05T05:48:27.000+00:00
SH_A115A99,1,1300643,2026-08-05T05:44:01.000+00:00
SH_PA115A99,3,1300642,2026-08-05T05:43:53.000+00:00
SH_A115A01,10,1300641,2026-08-05T05:43:44.000+00:00
SH_A115A99,-1,1297598,2026-08-05T05:43:18.000+00:00
SH_PA115A99,-1,1297597,2026-08-05T05:38:56.000+00:00
2035898_PID,170,1300640,2026-08-05T05:37:45.000+00:00
EL_K269,3,1300639,2026-08-05T05:35:52.000+00:00
DUTY_EL_ASPSC,45,1300637,2026-08-05T05:35:16.000+00:00
DUTY_EL_AEXP,197,1300636,2026-08-05T05:34:27.000+00:00
CALC_DESIGN_AUTO,153,1300635,2026-08-05T05:31:09.000+00:00
DUTY_TABLE_NEWYZER,59,1300634,2026-08-05T05:16:21.000+00:00
EL_PB184A,-1,1254076,2026-08-05T05:15:27.000+00:00
7003411_AUTO,811,1300633,2026-08-05T05:14:38.000+00:00
C263B01,7,1300632,2026-08-05T05:12:04.000+00:00
LIMIT_PASS,8684,1300631,2026-08-05T05:11:30.000+00:00
BOM_VERI_HOISTCP,56,1300630,2026-08-05T05:10:06.000+00:00
SH_A115A01,-1,1300629,2026-08-05T05:09:33.000+00:00
BOM_A204D05,11,1300628,2026-08-05T05:07:12.000+00:00
BOM_A204A25,49,1300627,2026-08-05T05:06:30.000+00:00
BOM_A204A09,5,1300626,2026-08-05T05:03:59.000+00:00
BOM_A204A_A205A03,2,1300625,2026-08-05T05:03:20.000+00:00
BOM_A204A,12,1300624,2026-08-05T05:02:33.000+00:00
7009774_AUTO,146,1300623,2026-08-05T05:00:34.000+00:00
B259C01,99,1300622,2026-08-05T05:00:11.000+00:00
B184A,-1,1293808,2026-08-05T04:58:02.000+00:00
DUTY_YOUNGUP,5347,1300621,2026-08-05T04:57:13.000+00:00
DUTY_YOUNGUP_FIN,1707,1300619,2026-08-05T04:45:37.000+00:00
7003411_AUTO,810,1300618,2026-08-05T04:44:05.000+00:00
DUTY_YOUNGUP_FIN,1706,1300617,2026-08-05T04:42:21.000+00:00
B259B82,3,1300613,2026-08-05T04:35:08.000+00:00
B259B77,4,1300612,2026-08-05T04:28:17.000+00:00
B259B74,20,1300611,2026-08-05T04:26:57.000+00:00
2035391_AUTO,374,1300610,2026-08-05T04:22:38.000+00:00
2035391_AUTO,373,1300609,2026-08-05T04:21:37.000+00:00
2024438_AUTO,186,1300608,2026-08-05T04:15:25.000+00:00
2024438_AUTO,185,1300607,2026-08-05T04:08:34.000+00:00
2035391_AUTO,372,1300606,2026-08-05T04:07:58.000+00:00
2035391_AUTO,371,1300605,2026-08-05T04:04:49.000+00:00
B259B71,24,1300602,2026-08-05T02:59:36.000+00:00
B259B70,18,1300601,2026-08-05T02:57:39.000+00:00
B182E01_P2,-1,1121934,2026-08-05T02:56:50.000+00:00
B259B67,5,1300599,2026-08-05T02:51:42.000+00:00
2024438_AUTO,184,1300598,2026-08-05T02:50:52.000+00:00
B259B66,1,1300597,2026-08-05T02:50:51.000+00:00
BOM_B259B23,35,1300596,2026-08-05T02:27:46.000+00:00
B259B63,69,1300595,2026-08-05T02:25:11.000+00:00
B259B28,10,1300594,2026-08-05T02:20:56.000+00:00
B259B26,6,1300593,2026-08-05T02:20:15.000+00:00
B259B24,3,1300592,2026-08-05T02:19:41.000+00:00
B259B23,21,1300591,2026-08-05T02:18:47.000+00:00
B259B22,19,1300590,2026-08-05T02:17:42.000+00:00
B259B18,10,1300589,2026-08-05T02:16:34.000+00:00
B259B13,14,1300588,2026-08-05T02:15:45.000+00:00
B259B12,7,1300587,2026-08-05T02:13:41.000+00:00
B259B11,61,1300586,2026-08-05T02:12:50.000+00:00
B259B02,28,1300585,2026-08-05T02:07:16.000+00:00
B259B01,34,1300584,2026-08-05T02:06:02.000+00:00
B259A,80,1300583,2026-08-05T02:03:31.000+00:00
B182F03,18,1300582,2026-08-05T02:01:34.000+00:00
AUTO_EL_ZERR_M5,340,1300581,2026-08-05T02:00:25.000+00:00
AUTO_EL_ZERR_E6,30,1300580,2026-08-05T01:58:46.000+00:00
LIMIT_PASS,8683,1300579,2026-08-05T01:58:16.000+00:00
AUTO_EL_ZERR_E5,93,1300578,2026-08-05T01:57:41.000+00:00
AUTO_EL_ZERR_E4,90,1300577,2026-08-05T01:54:55.000+00:00
AUTO_EL_ZERR_E3,460,1300576,2026-08-05T01:52:30.000+00:00
LIMIT_EL_INDIVIDUAL_COST_PASS,1065,1300572,2026-08-05T01:32:44.000+00:00
CAL_BUTTON_MOLD,54,1300571,2026-08-05T01:23:43.000+00:00
AUTO_EL_EDTG,13,1300570,2026-08-05T01:09:07.000+00:00
AUTO_EL_EDTD,9,1300566,2026-08-05T01:05:09.000+00:00
AUTO_EL_CMRLHDRD,5,1300565,2026-08-05T01:03:27.000+00:00
A230A04,22,1300564,2026-08-05T01:02:32.000+00:00
A204D05,4,1300563,2026-08-05T01:01:25.000+00:00
A204A53_90,3,1300562,2026-08-05T00:58:51.000+00:00
A204A53_82,3,1300561,2026-08-05T00:56:55.000+00:00
AUTO_EL_ZERR_C,582,1300559,2026-08-05T00:51:28.000+00:00
BOM_B259B02,50,1300558,2026-08-05T00:50:38.000+00:00
BOM_B259B01,57,1300557,2026-08-05T00:50:21.000+00:00
A204A53_80,5,1300556,2026-08-05T00:47:27.000+00:00
CAR_WT_NEW,50,1300555,2026-08-05T00:40:07.000+00:00
A204A53_63,19,1300554,2026-08-05T00:39:32.000+00:00
A204A53_56,6,1300553,2026-08-05T00:38:12.000+00:00
A204A53_48,9,1300552,2026-08-05T00:36:24.000+00:00
A204A53_41,24,1300551,2026-08-05T00:33:25.000+00:00
A204A53_4,28,1300550,2026-08-05T00:32:19.000+00:00
A204A53_38,9,1300549,2026-08-05T00:30:59.000+00:00
A204A53_31,17,1300548,2026-08-05T00:30:23.000+00:00
LIMIT_PASS,8682,1300547,2026-08-05T00:30:13.000+00:00
A204A53_24,12,1300546,2026-08-05T00:28:22.000+00:00
A204A53_21,14,1300545,2026-08-05T00:27:53.000+00:00
A204A53_20,4,1300544,2026-08-05T00:27:05.000+00:00
A204A53_19,7,1300543,2026-08-05T00:25:49.000+00:00
A204A53_18,18,1300542,2026-08-05T00:25:15.000+00:00
LIMIT_PASS,8681,1300541,2026-08-05T00:25:10.000+00:00
A204A53_17,24,1300540,2026-08-05T00:24:23.000+00:00
A204A53_15,8,1300539,2026-08-05T00:23:39.000+00:00
A204A53_13,10,1300538,2026-08-05T00:23:09.000+00:00
A204A53_12,2,1300537,2026-08-05T00:22:12.000+00:00
A204A53_11,33,1300536,2026-08-05T00:21:41.000+00:00
A204A51_2,21,1300533,2026-08-04T23:58:46.000+00:00
A204A51_1,24,1300532,2026-08-04T23:56:37.000+00:00
BOM_B241A07,42,1300531,2026-08-04T23:56:26.000+00:00
BOM_B260C01,23,1300530,2026-08-04T23:54:16.000+00:00
BOM_B260C02,18,1300529,2026-08-04T23:53:49.000+00:00
BOM_B260C02,17,1300528,2026-08-04T23:52:06.000+00:00
A204A25,6,1300527,2026-08-04T23:51:56.000+00:00
BOM_B260C01,22,1300526,2026-08-04T23:51:50.000+00:00
LIMIT_EL_INDIVIDUAL_COST_PASS,1064,1300525,2026-08-04T23:47:02.000+00:00
EXCEPT_CHECK_PLAN_C,10,1300510,2026-08-04T23:42:10.000+00:00
BOM_B260C02,16,1300508,2026-08-04T23:37:25.000+00:00
BOM_B260C01,21,1300507,2026-08-04T23:36:15.000+00:00
EL_PB182C01,-1,1186722,2026-08-04T10:58:44.000+00:00
EL_PB182B01,-1,1118671,2026-08-04T10:32:23.000+00:00
EL_PB182B01,60,1300495,2026-08-04T09:57:03.000+00:00
PICK_B181A_NEX,58,1300494,2026-08-04T09:28:58.000+00:00
PICK_B121A,35,1300493,2026-08-04T09:22:39.000+00:00
EL_PB189A01,73,1300492,2026-08-04T09:20:23.000+00:00
EL_PB184A,104,1300491,2026-08-04T09:16:12.000+00:00
EL_PB182C04,37,1300490,2026-08-04T09:08:59.000+00:00
7003286_AUTO,49,1300489,2026-08-04T08:59:22.000+00:00
BOM_VERI_F290A02,135,1300488,2026-08-04T08:53:22.000+00:00
BOM_B260C02,15,1300487,2026-08-04T08:52:58.000+00:00
BOM_B260C01,20,1300486,2026-08-04T08:52:34.000+00:00
EL_PB189A07,31,1300485,2026-08-04T08:37:38.000+00:00
A204A,306,1300484,2026-08-04T08:28:35.000+00:00
BOM_PART_TO_PART,49,1300483,2026-08-04T08:27:21.000+00:00
BOM_A200A01_A260B,0,1300482,2026-08-04T08:27:11.000+00:00
AUTO_EL_ZERR_M3,422,1300477,2026-08-04T08:07:00.000+00:00
EL_PB182B02,38,1300476,2026-08-04T08:05:56.000+00:00
EL_PB182B04,21,1300472,2026-08-04T08:02:43.000+00:00
EL_PB182C04,36,1300469,2026-08-04T07:58:48.000+00:00
EL_PB182C01,69,1300468,2026-08-04T07:58:18.000+00:00
LIMIT_PASS,8680,1300467,2026-08-04T07:58:13.000+00:00
BOM_VERI_F290A02,134,1300465,2026-08-04T07:46:29.000+00:00
LIMIT_PASS,8679,1300461,2026-08-04T07:37:28.000+00:00
CAL_RUN_BY,43,1300460,2026-08-04T07:31:59.000+00:00
BOM_B260C02,14,1300459,2026-08-04T07:27:01.000+00:00
BOM_B260C01,19,1300458,2026-08-04T07:24:58.000+00:00
BOM_E291B02,229,1300456,2026-08-04T07:20:58.000+00:00
BOM_B260C01,18,1300454,2026-08-04T07:18:33.000+00:00
BOM_A206B,66,1300453,2026-08-04T07:08:04.000+00:00
BOM_A206A,74,1300452,2026-08-04T07:07:40.000+00:00
AUTO_EL_ZERR_M3,421,1300447,2026-08-04T06:58:43.000+00:00
CAL_RUN_BY,42,1300442,2026-08-04T06:40:53.000+00:00
2037513,28,1300437,2026-08-04T06:34:24.000+00:00
SALES_COMMON,136,1300433,2026-08-04T06:33:19.000+00:00
SALES_COMMON,135,1300431,2026-08-04T06:32:02.000+00:00
SALES_SHOW,50,1300430,2026-08-04T06:30:39.000+00:00
EXCEPT_CHECK_PLAN_C,9,1300428,2026-08-04T06:23:49.000+00:00
LIMIT_PASS,8678,1300425,2026-08-04T06:22:17.000+00:00
EL_PA102A01,-1,1247905,2026-08-04T06:20:26.000+00:00
B259B67,4,1300423,2026-08-04T06:17:11.000+00:00
LIMIT_PASS,8677,1300422,2026-08-04T06:16:25.000+00:00
B259B28,9,1300421,2026-08-04T06:15:49.000+00:00
EL_PB125A01,5,1300420,2026-08-04T06:13:27.000+00:00
B259B13,13,1300419,2026-08-04T06:11:51.000+00:00
BOM_B181B,39,1300418,2026-08-04T06:04:24.000+00:00
CAL_RUN_BY,41,1300417,2026-08-04T06:04:03.000+00:00
B181B_DATA,1,1300416,2026-08-04T06:01:58.000+00:00
B259B11,60,1300415,2026-08-04T06:00:44.000+00:00
LIMIT_PASS_SHIPDAT,474,1300414,2026-08-04T05:59:02.000+00:00
2024438_AUTO,183,1300413,2026-08-04T05:56:15.000+00:00
EXCEPT_CHECK_PLAN_C,8,1300412,2026-08-04T05:51:08.000+00:00
BOM_B181B,38,1300411,2026-08-04T05:50:13.000+00:00
BOM_B181B,37,1300410,2026-08-04T05:49:47.000+00:00
7009774_AUTO,145,1300409,2026-08-04T05:43:28.000+00:00
EL_PB259C01,136,1300406,2026-08-04T05:40:04.000+00:00
BOM_B181B,36,1300404,2026-08-04T05:37:57.000+00:00
BOM_A230A04,54,1300402,2026-08-04T05:36:34.000+00:00
BOM_A230A04,53,1300401,2026-08-04T05:36:08.000+00:00
BOM_A230A04,52,1300400,2026-08-04T05:35:20.000+00:00
BOM_A230A04,51,1300398,2026-08-04T05:32:16.000+00:00
2024438_AUTO,182,1300389,2026-08-04T04:59:50.000+00:00
LIMIT_PASS,8676,1300388,2026-08-04T04:55:11.000+00:00
BOM_B181B,35,1300384,2026-08-04T04:39:36.000+00:00
BOM_B181B,34,1300383,2026-08-04T04:36:42.000+00:00
LIMIT_PASS,8675,1300382,2026-08-04T04:36:24.000+00:00
BOM_B181B,33,1300380,2026-08-04T04:34:28.000+00:00
BOM_B181B,-1,1264972,2026-08-04T04:21:55.000+00:00
B181B_DATA,0,1300378,2026-08-04T03:52:55.000+00:00
2035391_AUTO,370,1300377,2026-08-04T03:42:56.000+00:00
2035391_AUTO,369,1300376,2026-08-04T03:42:22.000+00:00
2031388_AUTO,638,1300375,2026-08-04T02:59:44.000+00:00
B181B_DATA,-1,1300341,2026-08-04T02:50:01.000+00:00
EL_PE280A,117,1300372,2026-08-04T02:49:48.000+00:00
LIMIT_013_OUTSIDE_FLOOR,507,1300371,2026-08-04T02:45:14.000+00:00
CAL_CEILING_REINFORCE_CMT,-1,1199130,2026-08-04T02:44:59.000+00:00
LIMIT_ES_PASS,65,1300370,2026-08-04T02:44:44.000+00:00
7009774_AUTO,144,1300369,2026-08-04T02:32:59.000+00:00
LIMIT_013_OUTSIDE_FLOOR,506,1300368,2026-08-04T02:04:43.000+00:00
LIMIT_013_OUTSIDE_FLOOR,-1,1150682,2026-08-04T02:00:42.000+00:00
LIMIT_PASS_SHIPDAT,473,1300366,2026-08-04T01:49:03.000+00:00
LIMIT_PASS,8674,1300365,2026-08-04T01:46:00.000+00:00
EL_PB182D01,49,1300364,2026-08-04T01:31:47.000+00:00
SALES_COMMON,134,1300363,2026-08-04T01:29:13.000+00:00
LIMIT_PASS,8673,1300358,2026-08-04T01:19:35.000+00:00
B182F,31,1300357,2026-08-04T01:13:03.000+00:00
LIMIT_012_INSIDE,561,1300356,2026-08-04T01:10:13.000+00:00
B182F,-1,1116639,2026-08-04T01:09:27.000+00:00
EL_PA115A02,55,1300355,2026-08-04T01:03:02.000+00:00
LIMIT_012_INSIDE,560,1300354,2026-08-04T01:02:30.000+00:00
EL_PB128B08,42,1300353,2026-08-04T00:57:35.000+00:00
