PARTNO,PARTNAME,SPEC,CMT,HOGI_CNT,ITEM_CNT
18110414G1700,SUBWEIGHT,"SS400,30kg",,965,965
C18110825G2700,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S",- SPRAY COLOR : BLACK,782,782
C18110824G270A,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,482,482
18110825G4100,SUBWEIGHT,"CONCRETE(5.2),40kg,G/S",- SPRAY COLOR : BLACK,416,416
18110412G2100,SUBWEIGHT,"CONCRETE,30kg",,366,366
18110824G410A,SUBWEIGHT,"CONCRETE(3.2),30kg",- SPRAY COLOR : BLACK,360,360
18110413G0900,SUBWEIGHT,"FC,30kg",,316,316
C18110824G2700,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,294,294
18110411G1200,SUBWEIGHT,"CONCRETE,30kg",,287,287
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=920 (35/BG-160/35 -> 50/820/50 로 변경), SW=180, SC=SE=80",285,285
18110346G0400,SUBWEIGHT,"SS400,30kg",,261,261
18110824G4100,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,250,250
C18110825G2600,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S",- SPRAY COLOR : BLACK,249,249
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=725 (35/BG-160/35 -> 50/625/50 로 변경), SW=170, SC=SE=70",211,211
18110825G2700,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S",- SPRAY COLOR : BLACK,193,193
18110414G2100,SUBWEIGHT,"SS400,30kg",,169,169
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=900 (35/BG-160/35 -> 40/820/40 로 변경), SW=180, SC=SE=80",168,168
18110825G3600,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S",- SPRAY COLOR : BLACK,161,161
18110414G1800,SUBWEIGHT,"SS400,30kg",,161,161
18110413G0800,SUBWEIGHT,"FC,30kg",,159,159
18110412G0500,SUBWEIGHT,"CONCRETE,30kg",,152,152
C18110824G260A,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,148,148
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=705 (35/BG-160/35 -> 40/625/40 로 변경), SW=170, SC=SE=70",140,140
18110825G3100,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S",- SPRAY COLOR : BLACK,130,130
18110824G360A,SUBWEIGHT,"CONCRETE(3.2),30kg",- SPRAY COLOR : BLACK,124,124
18110413G0500,SUBWEIGHT,"FC,30kg",,123,123
C18110825G2500,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S",- SPRAY COLOR : BLACK,121,121
18110824G270A,SUBWEIGHT,"CONCRETE(3.2),30kg",- SPRAY COLOR : BLACK,107,107
18110298G0400,SUBWEIGHT,"SS400,20kg/EA",,105,105
C18110824G2600,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,101,101
18110824G440A,SUBWEIGHT,"CONCRETE(3.2),30kg",- SPRAY COLOR : BLACK,97,97
18110414G2100,SUBWEIGHT,"SS400,30kg","
- 1차 입고수량 : 89 EA / 2차 입고수량 : 4 EA",92,92
18110411G0600,SUBWEIGHT,"CONCRETE,30kg",,89,89
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=830 (35/BG-160/35 -> 50/730/50 로 변경), SW=250, SC=SE=170",89,89
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=920 (35/BG-160/35 -> 50/820/50 로 변경), SW=125, SC=SE=70",89,89
18110414G0500,SUBWEIGHT,"SS400,30kg",,87,87
18110412G1100,SUBWEIGHT,"CONCRETE,30kg",,86,86
18110414G1100,SUBWEIGHT,"SS400,30kg",,82,82
18110824G2700,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,81,81
18110412G1700,SUBWEIGHT,"CONCRETE,30kg",,80,80
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=920 (35/BG-160/35 -> 65/790/65 로 변경), SW=170, SC=SE=100",78,78
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=805 (35/BG-160/35 -> 40/725/40 로 변경), SW=250, SC=SE=170",77,77
18110414G0900,SUBWEIGHT,"SS400,30kg",,76,76
18110825G4300,SUBWEIGHT,"CONCRETE(5.2),40kg,G/S",- SPRAY COLOR : BLACK,75,75
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=905 (35/BG-160/35 -> 55/795/55 로 변경), SW=170, SC=SE=100",75,75
18110412G0900,SUBWEIGHT,"CONCRETE,30kg",,73,73
18110412G0800,SUBWEIGHT,"CONCRETE,30kg",,72,72
VC003831G9300,SUBWEIGHT,"SS400,20kg","- MATERIAL : SS400, WEIGHT : 20kg/EA
- A=900, A-70=820, C=E=80, B=180",72,72
C18110824G250A,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,72,72
C18110825G0900,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S",- SPRAY COLOR : BLACK,71,71
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=920 (35/BG-160/35 -> 50/820/50 로 변경), SW=170, SC=SE=70",65,65
C18110825G2400,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S",- SPRAY COLOR : BLACK,63,63
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=900 (35/BG-160/35 -> 40/820/40 로 변경), SW=125, SC=SE=65",63,63
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=1130 (35/BG-160/35 -> 50/1030/50 로 변경), SW=220, SC=SE=170",62,62
18110340G0400,SUBWEIGHT,"FC15, SHIP",,61,61
18110412G1400,SUBWEIGHT,"CONCRETE,30kg",,61,61
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=920 (35/BG-160/35 -> 50/820/50 로 변경), SW=185, SC=SE=80",60,60
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=820 (35/BG-160/35 -> 45/730/45 로 변경), SW=250, SC=SE=165",60,60
18110287G0300,SUBWEIGHT,"CONCRETE,3.6E-6kg/mm^3,25KG/EA",,59,59
18110412G0400,SUBWEIGHT,"CONCRETE,30kg",,59,59
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=830 (35/BG-160/35 -> 50/730/50 로 변경), SW=250, SC=SE=175",57,57
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=915 (35/BG-160/35 -> 50/815/50 로 변경), SW=180, SC=SE=80",56,56
C18110825G2700,SUBWEIGHT,"CONCRETE(5.2),30kg,SUBSYSTEM",- SPRAY COLOR : BLACK,54,54
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=920 (35/BG-160/35 -> 50/820/50 로 변경), SW=180, SC=SE=85",54,54
C18110824G2700,SUBWEIGHT,"CONCRETE(3.2),30kg,SUBSYSTEM",- SPRAY COLOR : BLACK,54,54
C18110825G4700,SUBWEIGHT,"CONCRETE(5.2),40kg,G/S",- SPRAY COLOR : BLACK,53,53
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=890 (35/BG-160/35 -> 35/820/35 로 변경), SW=125, SC=SE=65",51,51
18110412G2100,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 64 EA / 2차 입고수량 : 3 EA",50,50
18110412G2100,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 49 EA / 2차 입고수량 : 10 EA",50,50
18110825G3000,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S",- SPRAY COLOR : BLACK,49,49
C18110824G2500,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,49,49
18110824G330A,SUBWEIGHT,"CONCRETE(3.2),30kg",- SPRAY COLOR : BLACK,48,48
18110414G1400,SUBWEIGHT,"SS400,30kg",,47,47
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=920 (35/BG-160/35 -> 50/820/50 로 변경), SW=130, SC=SE=70",46,46
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=700 (35/BG-160/35 -> 40/620/40 로 변경), SW=170, SC=SE=70",46,46
18110414G0400,SUBWEIGHT,"SS400,30kg",,45,45
18110824G4300,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,45,45
C181P004283,SUBWEIGHT,28kg,- SPRAY COLOR : BLACK,45,45
C181P004235,SUBWEIGHT,25.5kg,- SPRAY COLOR : BLACK,45,45
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=830 (35/BG-160/35 -> 50/730/50 로 변경), SW=170, SC=SE=120",44,44
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=905 (35/BG-160/35 -> 40/825/40 로 변경), SW=125, SC=SE=70",44,44
18110825G4100,SUBWEIGHT,"CONCRETE(5.2),40kg,G/S",,41,41
18110411G1300,SUBWEIGHT,"CONCRETE,30kg",,41,41
18110824G3600,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,41,41
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=720 (35/BG-160/35 -> 50/620/50 로 변경), SW=170, SC=SE=70",39,39
C18110824G240A,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,38,38
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=1125 (35/BG-160/35 -> 50/1025/50 로 변경), SW=220, SC=SE=175",38,38
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=700 (35/BG-160/35 -> 40/620/40 로 변경), SW=170, SC=SE=65",37,37
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=900 (35/BG-160/35 -> 40/820/40 로 변경), SW=180, SC=SE=100",37,37
C18110824G090A,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,37,37
18110825G4400,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S",- SPRAY COLOR : BLACK,36,36
18110411G0200,SUBWEIGHT,"CONCRETE,30kg",,35,35
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=900 (35/BG-160/35 -> 40/820/40 로 변경), SW=170, SC=SE=70",35,35
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=915 (35/BG-160/35 -> 45/825/45 로 변경), SW=125, SC=SE=70",34,34
C18110824G0900,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,34,34
18110340G0500,SUBWEIGHT,FC15,,34,34
18110412G2100,SUBWEIGHT,"CONCRETE,30kg",- 1차 입고수량 : 55 EA / 2차 입고수량 : 4 EA,34,34
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=890 (35/BG-160/35 -> 35/820/35 로 변경), SW=125, SC=SE=70",33,33
18110414G1600,SUBWEIGHT,"SS400,30kg",,33,33
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=900 (35/BG-160/35 -> 40/820/40 로 변경), SW=180, SC=SE=85",33,33
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=715 (35/BG-160/35 -> 40/635/40 로 변경), SW=170, SC=SE=65",32,32
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=730 (35/BG-160/35 -> 50/630/50 로 변경), SW=170, SC=SE=70",32,32
18110825G2500,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S",- SPRAY COLOR : BLACK,32,32
18110825G2600,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S",- SPRAY COLOR : BLACK,31,31
18110824G410A,SUBWEIGHT,"CONCRETE(3.2),30kg","- SPRAY COLOR : BLACK
- 1차 입고수량 : 33 EA / 2차 입고수량 : 13 EA",31,31
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=820 (35/BG-160/35 -> 45/730/45 로 변경), SW=250, SC=SE=170",31,31
18110414G0700,SUBWEIGHT,"SS400,30kg",,30,30
18110824G430A,SUBWEIGHT,"CONCRETE(3.2),30kg",- SPRAY COLOR : BLACK,30,30
C18110824G470A,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,30,30
18110412G0300,SUBWEIGHT,"CONCRETE,30kg",,30,30
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=720 (35/BG-160/35 -> 40/640/40 로 변경), SW=175, SC=SE=70",29,29
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=815 (35/BG-160/35 -> 45/725/45 로 변경), SW=250, SC=SE=170",29,29
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=835 (35/BG-160/35 -> 55/725/55 로 변경), SW=250, SC=SE=170",28,28
18110413G0300,SUBWEIGHT,"FC,30kg",,27,27
18110825G3300,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S",- SPRAY COLOR : BLACK,27,27
C18110824G2400,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,26,26
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=905 (35/BG-160/35 -> 40/825/40 로 변경), SW=170, SC=SE=70",26,26
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=1135 (35/BG-160/35 -> 50/1035/50 로 변경), SW=170, SC=SE=120",26,26
18110367G0300,SUBWEIGHT,"SS400,2 COMPEN SHEAVE,30kg",,26,26
18110412G2100,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 31 EA / 2차 입고수량 : 14 EA",26,26
18110412G2100,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 56 EA / 2차 입고수량 : 6 EA",26,26
18110412G1800,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 39 EA / 2차 입고수량 : 5 EA",26,26
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]= (35/BG-160/35 -> // 로 변경), SC=SE=, SW=, G=",25,25
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=725 (35/BG-160/35 -> 50/625/50 로 변경), SW=175, SC=SE=70",25,25
VC003831G9300,SUBWEIGHT,"SS400,20kg","- MATERIAL : SS400, WEIGHT : 20kg/EA
- A= 920(35/A-70/35 -> 65/790/65 로 변경), C=E=100, B=170",25,25
18110412G2100,SUBWEIGHT,"CONCRETE,30kg",- 1차 입고수량 : 51 EA / 2차 입고수량 : 11 EA,25,25
18100374G0100,SUBWEIGHT,"FC, 7.0x10^-6, 25kg",,25,25
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=860 (35/BG-160/35 -> 50/760/50 로 변경), SW=170, SC=SE=110",25,25
18110825G2400,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S",- SPRAY COLOR : BLACK,25,25
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=730 (35/BG-160/35 -> 25/680/25 로 변경), SW=170, SC=SE=125",24,24
18110412G1800,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 32 EA / 2차 입고수량 : 5 EA",24,24
18110412G0500,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 27 EA / 2차 입고수량 : 6 EA",24,24
18110414G2100,SUBWEIGHT,"SS400,30kg","
- 1차 입고수량 : 90 EA / 2차 입고수량 : 11 EA",24,24
18110825G4100,SUBWEIGHT,"CONCRETE(5.2),40kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 42 EA / 2차 입고수량 : 7 EA",24,24
C18110825G2600,SUBWEIGHT,"CONCRETE(5.2),30kg,SUBSYSTEM",- SPRAY COLOR : BLACK,23,23
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=905 (35/BG-160/35 -> 40/825/40 로 변경), SW=125, SC=SE=65",23,23
C18110824G2600,SUBWEIGHT,"CONCRETE(3.2),30kg,SUBSYSTEM",- SPRAY COLOR : BLACK,23,23
18110411G0900,SUBWEIGHT,"CONCRETE,30kg",,23,23
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=1140 (35/BG-160/35 -> 55/1030/55 로 변경), SW=220, SC=SE=165",23,23
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=905 (35/BG-160/35 -> 40/825/40 로 변경), SW=130, SC=SE=70",23,23
C18110824G4700,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,23,23
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=715 (35/BG-160/35 -> 40/635/40 로 변경), SW=170, SC=SE=70",22,22
18110412G2100,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 49 EA / 2차 입고수량 : 12 EA",21,21
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=840 (35/BG-160/35 -> 55/730/55 로 변경), SW=250, SC=SE=165",21,21
18110414G0800,SUBWEIGHT,"SS400,30kg",,21,21
18110412G2100,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 61 EA / 2차 입고수량 : 5 EA",21,21
18110413G0900,SUBWEIGHT,"FC,30kg","
- 1차 입고수량 : 66 EA / 2차 입고수량 : 10 EA",21,21
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=720 (35/BG-160/35 -> 50/620/50 로 변경), SW=170, SC=SE=65",20,20
VC003831G9300,SUBWEIGHT,"SS400,20kg","WEIGHT SIZE. 18110351G01, 주조 홀 적용, 개당 30kg, 66EA",20,20
18110825G4100,SUBWEIGHT,"CONCRETE(5.2),40kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 63 EA / 2차 입고수량 : 8 EA",20,20
18110412G0200,SUBWEIGHT,"CONCRETE,30kg",,20,20
18110412G1600,SUBWEIGHT,"CONCRETE,30kg",,20,20
18110412G2100,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 53 EA / 2차 입고수량 : 12 EA",20,20
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=920 (35/BG-160/35 -> 50/820/50 로 변경), SW=170, SC=SE=65",20,20
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=900 (35/BG-160/35 -> 55/790/55 로 변경), SW=170, SC=SE=100",20,20
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=840 (35/BG-160/35 -> 55/730/55 로 변경), SW=175, SC=SE=120",20,20
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=725 (35/BG-160/35 -> 50/625/50 로 변경), SW=170, SC=SE=65",20,20
18110412G1800,SUBWEIGHT,"CONCRETE,30kg",,20,20
C181P004218,SUBWEIGHT,28.5kg,- SPRAY COLOR : BLACK,19,19
18110825G4100,SUBWEIGHT,"CONCRETE(5.2),40kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 32 EA / 2차 입고수량 : 7 EA",19,19
18110411G0100,SUBWEIGHT,"CONCRETE,30kg",,19,19
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=925 (35/BG-160/35 -> 50/825/50 로 변경), SW=170, SC=SE=70",19,19
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=925 (35/BG-160/35 -> 65/795/65 로 변경), SW=170, SC=SE=100",19,19
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=835 (35/BG-160/35 -> 50/735/50 로 변경), SW=250, SC=SE=175",19,19
C181P004266,SUBWEIGHT,45kg,- SPRAY COLOR : BLACK,19,19
18110825G4100,SUBWEIGHT,"CONCRETE(5.2),40kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 61 EA / 2차 입고수량 : 4 EA",19,19
18110742G0100,SUBWEIGHT,"평택미군부대, SS275",,18,18
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=870 (35/BG-160/35 -> 55/760/55 로 변경), SW=170, SC=SE=115",18,18
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=1095 (35/BG-160/35 -> 50/995/50 로 변경), SW=250, SC=SE=90",18,18
18110824G300A,SUBWEIGHT,"CONCRETE(3.2),30kg",- SPRAY COLOR : BLACK,18,18
VC003831G9300,SUBWEIGHT,"SS400,20kg","- MATERIAL : SS400, WEIGHT : 20kg/EA
* 18110414G18 적용하여 20kg/EA 제작할 것.
",18,18
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=820 (35/BG-160/35 -> 50/720/50 로 변경), SW=180, SC=SE=70",18,18
18110412G2100,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 56 EA / 2차 입고수량 : 10 EA",18,18
18110367G03Z2,SUBWEIGHT,"SMP:신안산선,SS400,2 COMPEN SHEAVE,30kg",,18,18
18110825G3100,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 7 EA / 2차 입고수량 : 11 EA",18,18
18100367G0500,SUBWEIGHT,"CONCRETE, 3.6x10^-6, 25kg",,18,18
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=900 (35/BG-160/35 -> 40/820/40 로 변경), SW=125, SC=SE=70",18,18
18110412G2100,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 44 EA / 2차 입고수량 : 14 EA",17,17
18110825G4100,SUBWEIGHT,"CONCRETE(5.2),40kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 43 EA / 2차 입고수량 : 8 EA",17,17
18110413G0900,SUBWEIGHT,"FC,30kg","
- 1차 입고수량 : 71 EA / 2차 입고수량 : 9 EA",17,17
18110824G4400,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,17,17
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=915 (35/BG-160/35 -> 60/795/60 로 변경), SW=170, SC=SE=100",17,17
18110824G410A,SUBWEIGHT,"CONCRETE(3.2),30kg","- SPRAY COLOR : BLACK
- 1차 입고수량 : 34 EA / 2차 입고수량 : 7 EA",17,17
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=920 (35/BG-160/35 -> 50/820/50 로 변경), SW=125, SC=SE=65",17,17
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=905 (35/BG-160/35 -> 55/795/55 로 변경), SW=200, SC=SE=100",16,16
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=1105 (35/BG-160/35 -> 40/1025/40 로 변경), SW=125, SC=SE=70",16,16
18110824G260A,SUBWEIGHT,"CONCRETE(3.2),30kg",- SPRAY COLOR : BLACK,16,16
18110825G4100,SUBWEIGHT,"CONCRETE(5.2),40kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 32 EA / 2차 입고수량 : 8 EA",16,16
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=840 (35/BG-160/35 -> 55/730/55 로 변경), SW=170, SC=SE=120",16,16
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=800 (35/BG-160/35 -> 50/700/50 로 변경), SW=180, SC=SE=120",16,16
18110412G2100,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 62 EA / 2차 입고수량 : 12 EA",16,16
18110412G2100,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 42 EA / 2차 입고수량 : 6 EA",16,16
18110825G4100,SUBWEIGHT,"CONCRETE(5.2),40kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 23 EA / 2차 입고수량 : 9 EA",16,16
18110413G0400,SUBWEIGHT,"FC,30kg",,16,16
18110412G0100,SUBWEIGHT,"CONCRETE,30kg",,16,16
18110412G2100,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 36 EA / 2차 입고수량 : 14 EA",16,16
18110412G2100,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 55 EA / 2차 입고수량 : 10 EA",16,16
VC003831G9300,SUBWEIGHT,"SS400,20kg","- MATERIAL : SS400, WEIGHT : 20kg/EA
- A=830, A-70=690, C=E=110, B=180",15,15
